When-Taking-Survey,First-Time,Status,Status-Other,Department,Research,Field,OS,With-Friend,Programming-Usage,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
1,1,2,,,5 ,i am busy collecting water samples and also blood samplesfor my masters research which will be analysed for cyanotoxins  phosphates and enzymes,3,3,1, 2         ,4,3,3,5,4,4,4,news ways to analyse data,2
1,1,2,,Botany,10 ,I am working on Population biology and ecology of Acacia karroo,3,3,1, 2         ,2,5,4,5,5,4,4,"This workshop will help me to analyse my data, and it will also help me in future.",2
1,1,2,,Hydrology and Water Resources,5 ,Investigation of salinity from groundwater sources at Sinthumule- Kutama area,3,1,7, 2         ,3,3,3,4,4,3,3,"I hope to learn how to use other tools of analysing data, because so far i only use excel.",2
2,1,0,Postgraduate student,Mining and Environmental Geology,5 ,"•	How can kaolins be used as paleo-indicators in reconstructing environmental conditions during kaolinitisation of the Lwamondo and Zebediela kaolins?  •	What are the trace elements that constituted the Lwamondo and Zebediela Kaolins?  •	What are the paleoenvironmental conditions responsible for the kaolinitisation of   Lwamondo and Zebediela kaolins?  •	How does the mineralogy, geochemistry and stable isotopes of Lwamondo kaolin compare to that of Zebediela?  ",3,3,1, 2         ,2,3,3,1,4,4,4,Data analysis skills,2
1,1,2,,Hydrology and Water Resources ,5 ,What are the main uses of water within the University of Venda and does the water supply meet the water demand of the institution. What is the University management doing to resolve the water problems and how can an institution water management strategy be developed?  ,3,1,7, 2         ,3,3,3,4,4,3,3,I hope to learn how to analyse data using other tools because i only know how to analyse data using Excel only. ,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,,5 ,Mineralogy and geochemistry,3,1,3, 2         ,3,3,3,5,3,3,4,Data management and analysis,2
1,1,5,,Data Science,1 ,Game Data Analysis,3,1,6, 2 45      ,1,4,4,5,5,5,5,Skills of developing statistical model,2
2,1,2,,"Environmental sciences, geography ",5 ,An investigation of the socioeconomic impacts of abandoned agricultural activities of tshiombo irrigation scheme,3,3,1, 2         ,2,4,4,3,3,3,3,I hope to learn data analysis techniques which will assist me with my research ,2
2,1,2,,Center for African Studies,8 ,The influence of parents educational background on students academic performance,3,1,1,         10 ,2,2,,4,3,3,5,To be very good in data analyses.,2
2,,,,,  ,,,,,           ,,,,,,,,,
2,1,,,,  ,,,,,           ,,,,,,,,,
2,1,2,,Center for African Studies,8 ,The influence of parents educational background on students performance.,3,1,,           ,,,,,,,,,
2,1,2,,African Studies,6 ,Cultural Factors and Youth Entrepreneurial Development,3,1,7, 2         ,3,3,2,4,4,3,3,"Qualitative and Quantitative data analyses, and programming. ",2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,4,,"Radiology, Medicine",11 ,"I am a radiologist working on cardiac Imaging including computed tomography and magnetic resonance imaging. I have interest on imaging processing, medical data science, and machine learning.    ",1,1,4, 2  5      ,1,3,3,5,5,5,5,Effective way to organize data.  Effective way to analyze data using R or Python,2
1,1,1,,International relation,14 ,How could I learn fast about R?,3,2,3,    56     ,4,3,2,4,5,4,4,,2
1,1,1,,Accounting and Management for Business ,6 ,,1,2,1, 2         ,4,0,0,4,3,3,3,Basic of data mining & analysis ,2
1,1,2,,Applied Mathematics, Applied Mathematics,Fluid mechanics,3,1,6,      7    ,4,2,2,4,4,4,4,I will learn how to use R programming language to analyse data,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,1,,Environmental Engineering,5 ,impacts of cola quality on coal combustion perfomance,3,1,2, 2         ,2,0,0,5,5,5,5,using programming language to analyze large quantities of research data.,2
1,1,5,,,2 ,,1,2,5, 2  56     ,1,3,2,4,4,4,3,,2
1,1,2,,Sociology,14 ,Political Sociology,3,2,6,    56     ,1,2,2,4,5,4,3,,2
1,1,1,,Sogang University,4 ,I'm keep working with Ruby of Rails for web developing and currently interested in Internet of Things,1,2,5,         10 ,4,3,2,5,4,5,4,It doesn't has to be professional but I would like to know some simple skills that I can actually use in my daily life,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,"Biology, biodiversity, evolution",9 ,,3,2,1, 2         ,3,0,0,4,,,,,2
1,1,1,,Chemical engineering,7 ,what is the optimal washability of coal,3,3,1, 2         ,1,2,2,5,3,3,3,analysis and reprisentation,2
1,1,0,post graduate,psychology,8 ,Academic anxiety among students in the school of health sciences at the university of venda: associated factors and effects.,3,1,1, 2         ,4,4,4,4,4,3,3,How to analyze and interprete data,1
2,1,2,,Botany,10 ,I am study population biology and ecology of Acacia karoo in the nylsvley nature reserve.,3,3,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Chemistry,3 ,Elucidating reaction mechanisms using kinetic analysis and organic synthesis,1,2,2, 2      9  ,1,2,3,4,4,3,3,More efficient ways to analyse and organise my data. Perhaps make it less repetitive,2
1,1,2,,Informatics,4 ,Learning Analytics,3,1,2, 2         ,4,2,2,5,4,4,4,improve in programming and understand how data analysing work,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Micrbial Ecology,10 ,The goal of my thesis is to discovered the main functions of uncluttered planktonic Archaea. ,1,2,6," 2 456  9 Tableau Desktop, Perl",1,2,2,5,3,2,3,,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,"Agriculture, Animal science",9 ,Animal science.  I am currently doing a study looking at the comparison of in vitro culture media and assisted hatching techniques on embryo hatching percentage using mice as a model    Research question: what is the effect of in vitro culture media and assisted hatching techniques on hatchability.,3,1,1, 2         ,3,4,3,4,4,4,4,How to analyse Data.  How to make statistical design,2
1,1,2,,Mathematics, Applied Mathematics,Interaction of laser beams in liquid crystals.,3,2,6," 2  5     Maple, FORTRAN",4,3,3,2,4,4,2,Familiarity with some new data analysing tools and maybe new insights into data analysis. ,2
1,1,2,,Evolutionary biology,10 ,I am trying to understand the variation at highly variable immune loci within an island breed of sheep and to identify which modes of evolution are maintaining high levels of variation. ,3,3,5, 2  5      ,2,4,3,5,5,5,5,Improvements to my current data management.   Improved management of data through SQL,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Quantum Chemistry,3 ,Development and application of bond indecs,1,3,7, 2         ,2,1,0,5,5,5,4,To be satisfied with programming.,1
1,2,2,,Biochemistry,9 ,Molecular genomics of whitefly and whitefly transmitted viruses.,1,2,3,    5      ,2,2,2,1,1,1,1,I want to increase my efficiency and turn around time from data acquisition to final analysis.,2
1,1,6,,Plant Biology,9 ,Work on Australian native plants,3,1,1," 2        SigmaPlot, Graph Prism",3,4,4,4,4,4,4,Learn these softwares,2
1,1,6,,Psychology,2 ,Research assistant.I run a longitudinal developmental project looking at the factors involved in the development of face recognition in children.,1,2,1, 2         ,1,3,3,5,5,5,4,How to use R or other programs to automate simple data sorting,2
1,1,2,,"Genetics and Genomics, Vet school",9 ,Animal metgenomics and transcriptomics respond to disease.,3,3,1, 2         ,2,3,3,4,3,3,3,Data management,2
1,1,2,,Plant Biology,10 ,"Plant nutrition, ecology, physiology and scanning electron microscopy. I work in the field, the glasshouse, the laboratory and in the centre for microscopy and microanalysis.",1,1,5, 2  5      ,1,4,4,4,5,5,4,I hope that through this workshop I am exposed to different approaches to managing large datasets and therefore better prepared in case I need to work with colleagues who utilise these other approaches. It will also allow me to explore and compare these other approaches with my current methods.,2
1,1,2,,Mathematics and Applied Mathematics, Mathematical Modelling/Infectious Diseases,Mathematical modelling of HIV/AIDS transmission dynamics using a multiscale modelling approach. The study involves linking and coupling within-host and between-host dynamics in order to comprehensively deduce the behaviour of the entire complex disease system.,3,1,5, 2  5      ,2,0,0,5,5,5,5,I am looking forward to cement further my personal experience with R programming and to introduce myself to Open Refine. ,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Computer Science,4 ,,1,2,6, 2   6     ,1,2,3,4,4,4,4,"advance skills in analysing data with python, and learn a new method to manage and store my data ( currently I'm using csv files for data organisation and management).",2
1,1,2,,Chemistry and Biochemistry,3 ,"My PhD is focused on the design and synthesis of synthetic (polymeric) transfection agents, where I use a mixture of synthetic and theoretical chemistry, and in vitro analysis to design and optimise the structure. I also look at delivering genome editing tools in vitro and in vivo for potential cancer treatments. ",3,3,1, 2      9 Prism,3,3,3,4,4,3,3,"I want to get an introduction into python, and using python to deal with/analyse large data sets prior to completing my computational chemistry experiments (molecular dynamic simulations). ",2
1,1,2,,Pathology and laboratory medicine ,9 ,,1,2,6, 2         ,2,3,3,5,3,3,3,,2
1,1,2,,School of Plant Biology,9 ,,3,1,2, 2         ,2,2,2,4,4,4,3,,2
1,1,2,,Marine Ecology,10 ,The effect of  disturbances on macroalgal ecology and microbial ecology and subsequent herbivore responses. ,3,1,1, 2         ,4,0,0,4,3,3,3,How to manage my data more effectively ,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,5,,Statistics,14 ,Everyday I analyze log and tabular data.  I build statistical models and perform eda.,1,1,6, 2 45   9  ,1,5,5,3,4,4,4,share open science culture into Korea. ,2
1,1,2,,Biology,10 ,I am a plant ecologist who studies plant community data sets to understand relationships between soil and plant diversity. ,3,1,5,    5      ,1,2,2,5,5,5,5,More time efficient ways of analyzing and processing data,2
1,1,1,,Urban and Regional Planning, Built environment,Investigating the Evolving experiences of SPLUMA implementation in Rural Municipalities : A Case study of Vhembe district municipality ,3,1,3, 2         ,3,2,3,1,1,1,3,How to utilize the right software to analyze data in a fast and effective way ,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Urban and Regional Planning, Built environment,"The problem of my study is that there is no standard approach to the development of a university town or town-gown partnerships. Therefore, the research question is how innovative and collaborative university-community partnerships can be established between the University of Venda, Thohoyandou town and its stakeholders?  ",3,3,,           ,,,,,,,,,
1,1,2,,Microbiology and molecular genetics,9 ,Microbial communities associated to corals,1,1,3, 2 4       ,1,3,3,5,5,5,4,"improve my basic knowledge of SQL, ecc  ",2
1,1,2,,plant molecular biology,9 ,To understand how RNA binding proteins work,3,2,3, 2 4    9  ,2,2,2,5,5,4,4,,2
1,1,3,,Psychology, Psychology,I am looking at how people form first impressions from faces.,1,2,3, 2  56    SPSS,1,3,4,5,4,4,1,"I want to become more efficient in data management/analysis pipeline. Also, it's a good opportunity to have to practise my Python skills.",2
1,1,4,,Education, psychometrics,Developing algorithms and prototyping software for analysing educational data using psychometric models.,3,2,6,    5      ,,4,4,5,,5,4,Introduction to using data bases (RDMS)  Introduction to Python as a general purpose complement to R.,2
1,1,0,PhD student,Proteomics, Biotech,Research Proteases with informatics and MS in plant mitochondria,3,1,6, 2  56     ,1,4,4,5,5,5,4,Becoming better than Tim,2
1,1,6,,Education,8 ,"Investigating relationships between mental health, academic performance, and socio-economic indicators in primary and secondary students across Australia.",3,2,6, 2 4 6  9 SAS,1,3,3,4,3,3,2,I do not have any expectations about the workshop.,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Biology,10 ,"I study the overwintering physiology of an invasive crop pest, the Brown Marmorated Stink Bug.",3,1,3, 2  5      ,4,3,3,4,5,5,5,,2
1,1,2,,Environmental Sciences,10 ,Application of nanomaterials in groundwater purification,3,1,3, 2         ,3,4,4,1,3,3,3,Ability to use the available tools for effective and reproducible data analysis,2
1,1,2,,Genetics,9 ,Using SNP array data to determine selective signatures in mice,1,2,2, 2         ,1,3,3,3,2,4,3,,2
1,1,2,,Biology,9 ,"Avian migratory physiology, metabolism.",1,3,3,    5      ,4,3,3,2,5,5,5,Python,2
1,1,2,,Molecular Biology,9 ,plant molecular genetic,3,2,1, 2         ,3,2,2,4,4,4,4,,2
1,2,2,,Biology,9 ,I study the organelle genome size evolution - how mitochondria and plastid genomes have evolved over time in terms of their genome size. ,3,1,3, 2        Geneious,1,2,2,5,5,5,5,I hope to get more familiar with programming and have insights on how to apply tools like R and Phyton to my research. ,2
1,1,3,,Stem Cell Research,9 ,studying transposon silencing in foetal germ cell reprogramming.,1,2,1, 2         ,4,3,2,5,4,5,4,be able to organize and analyse (big) data using scripting languages,2
1,1,2,,Environmental Science- Hydrology,5 ,Coupled surface and groundwater Hydrological modelling using meteorological data sets.  GIS analysis of groundwater potential.,3,1,3, 2  5  8   ,1,2,2,5,5,5,5,I hope to learn a lot more on how to use Python and R because I work with large and long sets of data,2
1,2,2,,Biology, Ecology and Evolution,"I'm interested in the trade-offs between the effects of 2 hormones, Prolactin and Androgens, in the behaviour and the immune system. I'll run a full transcriptome analysis on the fish genome.",1,1,2, 2  5      ,1,0,0,5,4,5,3,I hope I improve my programming skills,2
1,1,2,,Biology,10 ,The effect of the immune system on mate choice,3,1,7, 2        SPSS,4,2,2,5,4,4,3,Anything and everything,2
1,1,2,,Mining and Environmental Geology,5 ,My research focuses on reconstructing paleoenvironments in which kaolins in a Cretaceous-Tertiary basin formed. ,3,1,4, 2         ,1,4,4,5,4,5,3,I hope the workshop will be a platform for me to learn how to better manage and analyse data.,2
1,1,3,,Molecular Biology,9 ,Our study will contribute to characterization of the key traits that promote associations between legumes and the nitrogen-fixing bacteria. ,1,2,2, 2         ,4,2,2,4,5,5,5,what need to learn in order to become a data scientist,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
1,,,,,  ,,,,,           ,,,,,,,,,
2,1,2,,Developmental biology," Developmental biology, Immunology",,3,3,,           ,,,,,,,,,
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Biology,10 ,I'm studying the functional recovery of plant diversity in restored wetlands.,1,3,1, 2         ,2,4,3,5,4,4,4,"Mostly - just how to use R and/or Python. Data management will be a very beneficial component, but even just being exposed to what each of these programs is able to do will be very helpful.",2
1,1,3,,PEB,9 ,Comparative genomics and macroevolution.,1,1,5,    5   9  ,1,3,3,5,5,5,5,,2
1,1,2,,Sports Science, Sports Physiology,"Looking at the variability and stochasticity of 10 Hz GPS data collected during team sport matches, and applying algorithms to point-to-point value changes.",3,2,2, 2         ,1,2,2,5,5,4,3,To be very efficient at handling and processing my own data,2
1,1,2,,"Microbiology, Bioinformatics, Molecular genetics",10 ,I am trying to find how microorganisms communicate with each other by studying them in a model prepared in the lab. ,3,2,1, 2         ,4,2,2,5,5,5,5,I have never programmed or used a command line. I want to be able to use them after the workshop.,2
1,1,3,,Harry Perkins Institute for Medical Research,2 ,"Big Data Analysis on genomic, epigenomic, transcriptomic level.",1,3,3, 2 45   9  ,3,0,0,5,4,4,3,,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,2,2,,Biology,2 ,Validating the astrocyte-neuron lactate shuttle and investigating it's role in memory and Alzheimer's Disease using Drosophila and Mouse models. ,3,2,2, 2        Graphpad,3,3,3,4,5,4,3,Build skill and proficiency with coding.,2
1,1,2,,School of Paediatrics and Child Health,13 ,Looking at safety and complications of neonatal circumcision in Sub-Saharan Africa,3,3,1, 2        Stata,1,2,4,5,3,3,3,To learn the basics of programming,2
1,1,2,,Plant Biology,9 ,,3,1,,           ,,,,,,,,,
1,1,2,,,9 ,"My research is to study plant viruses. I will employ plants as a bio-factory to produce proteins of interest. To increase the yield of protein production, viral vectors are applied as powerful tools to enhance the expression. ",3,2,1, 2         ,2,3,3,4,3,3,3,I hope to have experiences with data organization and programming.,2
1,1,2,,Physics and Astronomy, Astronomy,"My research work focuses on studying quasars, which are supermassive black holes surrounded by an accretion disk, residing at the centres of massive galaxies. I reduce and analyze optical quasar spectra to determine quasar outflow properties such as their velocities and the amount of gas in outflows to understand the geometry and kinematics of quasar outflows.",3,2,6," 2   6  9 Image Reduction and Analysis Facility (IRAF), Peak-Analysis (PAN) in IDL",3,4,4,5,5,5,3,I hope to learn fundamental as well as sophisticated skills of managing and analyzing research data efficiently.,1
1,1,2,,Chemical Engineering , Fluid mechanics ,Study the hydrodynamic in multi phase flow systems focusing on low density particles in water.,3,3,2, 2         ,3,2,2,5,5,5,5,,2
1,1,2,,Biology - Ecology and Evolution,10 ,I investigate a highly polymorphic immunogene (MHC) and it's plays in mate choice and how it is signaled to mates in a songbird.,1,1,5, 2  5      ,1,0,4,5,5,5,3,Python. What to use for bioinformatics.,2
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Biochemistry and Molecular Biology,9 ,Proteomics,3,2,2, 2         ,3,0,0,5,3,3,3,I'm looking forwards to learning how to effectively handle large amounts of data in my field,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Atmospheric Science, Energy,Understanding offshore meteorology to improve wind energy planning,3,2,4, 2   67    ,2,2,2,5,5,4,2,"ideas for analysis, data management efficiency",2
1,1,2,,Wildlife Ecology and Conservation, Wildlife Ecology and Conservation,"pollination of flying foxes in Sulawesi, Indonesia",1,2,3, 2  5      ,4,2,3,4,4,4,4,managing and tidying up data,1
1,1,2,,Biology,9 ,"Mechanisms underlying insect freeze tolerance, including gene expression (transcriptomics) and metabolomics",3,1,6, 2  5   9  ,1,3,3,4,4,5,4,Basics of Python,2
1,,,,,  ,,,,,           ,,,,,,,,,
2,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Biology,9 ,"I study the relation between the nitrate assimilation and the mitochondrial enzyme, alternative oxidase in Chlamydomonas reinhardtii.",3,1,1, 2         ,4,0,0,5,5,5,5,To get familiar with the data analysis and learn how to program to analyze a data set.,2
1,1,2,,Microbiology,9 ,"Using nanopore sequencing, my supervising team and I we aim to develop a fast and accurate diagnostic technique with a particular interest in respiratory tract infections",1,2,2, 2         ,3,3,3,4,4,4,4,I hope to increase my knowledge and skills on using Python and R which will help with the data analysis of my PhD,2
1,1,3,,Biology,9 ,Transcriptomics and genetics relating to plant breeding.,1,2,5, 2  5      ,1,2,3,4,5,5,5,"SQL, better Python skills, data management that can be centralised",2
2,1,2,,biomedical engineering,11 ,detection and prediction of medical conditions using health records,3,2,6,    5      ,1,4,3,5,5,5,5,"graphics in R, SQL",1
1,1,3,,Pharmacotherapy,9 ,Genetics  Drug response  Clinical studies,3,2,1, 2         ,1,2,3,5,5,5,4,,1
1,1,,,,  ,,,,,           ,,,,,,,,,
1,1,3,,Crop Genetics,9 ,I work on wheat genetics and I use a combination of convental gents and NGS-based approaches to identify genetic controlling important traits in wheat. I am currently using this approach to study the genetic control of root development,3,1,3, 2      9  ,1,2,3,5,5,5,5,I most hope to learn how to manage my analysis in a trackable manner,2
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,4,,,13 ,,3,1,2,"          SAS, SPSS",1,4,4,5,3,3,3,,1
1,1,2,,Clinical and molecular cancer studies,9 ,"I'm working on NGS approachs for biomarkers discovery in Haematological malignancies, specially for Chronic Lymphocytic Leukaemia (CLL). ",4,2,1, 2         ,1,3,2,3,5,4,3,Learn the importance of using scripting language for large data analysis,2
1,1,2,,Fisheries,9 ,,1,1,,           ,,,,,,,,,
1,1,2,,Crop Genetics,9 ,Understanding the mechanisms underpinning senescence in wheat.,3,1,5, 2  5      ,3,3,3,4,4,4,4,I want to learn strategies to handle large datasets without just relying on often unwieldy Excel systems.,2
1,1,5,,Private Consultant, Communications,"Health care informatics, telehealth, secure telecommunication",3,2,3, 23 5     SPSS,1,5,5,5,4,3,3,How to construct data architectures,1
1,1,2,,Wildlife Ecology and Conservation,10 ,Reproductive Ecology of freshwater turtles,3,3,5, 2  5      ,2,2,2,5,3,5,4,"How to manage data efficiently, ti make analysis easier",1
1,,,,,  ,,,,,           ,,,,,,,,,
1,1,2,,Statistics,14 ,"I'm working on Network data and any subject which is related to network such as Financial networks, gene regulatory networks and Economic netoworks.",3,3,3,    5 7    ,4,2,2,2,4,4,3,Learning to work with the most applicable tools in data analysis.,1
1,2,6,,Physics and Astronomy,12 ,I do computer simulations testing the effects of RF heating on medical implant devices in phantom and human models in an MRI scanner.  I model RF bird cages with shields and Electric and Magnetic plane wave simulations. I use Sim4Life and SemCad X finite difference time domain software run in parallel on Nvidea Tesla GPU video cards.  I also run thermal simulations in Sim4Life and SemCad X on the CPU using the Pennes Bioheat PDE.  This software is automated with Python scripts with an API that I write.  I postprocess results from this software in Matlab.  I also use iSeg segmentation software to generate human models from MRI Dicom images and refine the STL models using Autodesk Meshmixer and Meshlab.,3,3,5, 23  67 9  ,2,4,4,1,1,1,1,I hope to become more proficient in Python scripting and become more experienced with R.,2
1,1,2,,Fisheries and Aquatic Science,9 ,Determining if phosphates from waterways are evident in elevated levels in manatee skin tissue. ,3,2,1, 2         ,3,3,3,5,3,3,3,I hope to become more familiar with R and better understand statistical functions. ,1
1,,,,,  ,,,,,           ,,,,,,,,,1
1,1,5,,Molecular Genetics, Genotyping plants,,3,1,1, 2         ,2,2,3,5,4,4,3,,2
1,1,2,,School of Natural Resources and the Environment, Interdisciplinary Ecology/ Fisheries and Aquatic Sciences,"I am currently studying the ecological importance of the Florida sea cucumber, to the Florida Keys hardbottom and seagrass habitats. I am looking at where it stands on the trophic level, if it is a preferential prey item at all, the effect it has on movement and foraging, and hwo it is distributed throughout the Florida Keys in the different habitats it inhabits. ",1,1,2, 2  5      ,1,4,2,5,5,3,4,I have a couple of ideas on how to analyze my data and I want to learn the best approach to doing them in R. I am also unfamiliar with writing code so I want to get better at that. ,1
1,1,3,,Functional Genomics and Genetics,9 ,I am starting a RNAseq analysis in sunflower in order to understand the molecular mechanisms of the leaf senescence process in this crop.,3,3,2, 2        Galaxy,1,2,3,5,5,5,3,,2
1,1,6,,Forestry,16 ,I work in Distance Education and work with data related to our students in online courses.,3,2,5,  3        ,4,2,2,5,4,4,3,I would like to have more options for working with poorly structured data sets that are hard to groom into usable structures in Access.,1
1,1,2,,Bio-informatics,9 ,I am working on looking at the evolution of resistance genes with integrated decoys. I will be looking at enriched sequencing data and also carry out enrichement sequencing for resistance genes. ,1,2,2, 2  5      ,4,2,1,5,5,5,5,I hope to learn how to use a variety of programming languages and to improve my general bio-informatic skills.,2
1,1,2,,Genetics/entemology,9 ,Induction of RNAi in insects for use in pest management ,3,2,3,    5      ,3,0,0,5,5,5,5,I hope to gain an understanding of programming.  Hopefully I will then be able to overcome problems with data handling without immediately referral.,2
1,1,5,,Molecular Genetics,9 ,Quality control using molecular biology tools on sugar beet plants and seeds.,3,1,1, 2         ,4,2,2,4,3,3,3,Learning new and efficient ways to handle any kind of data I have to deal with.,2
1,1,2,,School of Natural Resources & Environment/Fisheries & Aquatic Sciences,10 ,I study oyster provision of ecosystem services in the St. Augustine area. One focus of my dissertation work is estimating in situ oyster filtration rates. ,3,2,5, 2  5 7    ,1,3,3,4,4,4,3,I've just started to learn R in a class I'm taking. I want to learn how to use it more functionally. I also want to learn alternate ways to dealing with data rather than my typical status quo. ,1
1,1,2,,information systems and operation management,4 ,I am a final semester masters student from the Information systems and operation management department,3,2,4, 2 45      ,2,0,0,5,5,5,1,I want to make a career in data science.this is one of the steps in that direction,1
1,1,3,,Biochemistry and molecular biology,9 ,Understanding cardiac metabolism using conventional and dynamic nuclear polarization (DNP)-enhanced NMR spectroscopy.,2,2,6, 2   67 9  ,3,3,3,5,5,5,5,,1
1,1,4,,WEC,10 ,My work focuses in the drivers of epizootic hemorrhagic disease virus in Florida and vaccine development for curbing disease impacts. ,3,2,3, 23 5      ,2,1,1,1,1,1,3,How to quickly and effective generate reports from large data sets. ,1
1,1,2,,Psychology, Behavior Analysis,,3,2,3, 2         ,2,3,3,5,5,3,3,How to more efficiently analyze large sets of data. ,1
1,1,,,sociology,8 ,project management,3,1,,           ,,,,,,,,,
1,1,3,,Biological Chemistry,9 ,"I am working on the interaction between rice and the rice blast pathogen Magnaporthe oryzae. In particular, I am studying the molecular interaction between the rice resistance protein Pik and the pathogen effector AVR-Pik, with the view to extend rice resistance to the pathogen. ",3,3,3, 2  5      ,3,3,3,4,5,4,3,"The part I am more interested in is how to best organize big dataset in Excel spread sheets, how to export them in more widely accepted formats, and perform different statistical analyses on them.  I am also looking forward to learn about OpenRefine  ",2
