When-Taking-Survey,First-Time,Status,Status-Other,Department,Discipline,Discipline-Other,OS,With-Friend,Programming-Usage,Column4,Current-Tools,Have-Dataset,Data-Management-Strategy,Data-Analysis-Workflow,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Hope-to-Learn,Workshop-in-US
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,cardiology,Medicine,,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Neutral,Neutral,Neutral,Neutral,Fundamentals of genomics technology/programming,Yes
I am taking this survey before coming to the workshop,No,Staff,,Microbiology,"Life science (biology, genetics)",,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R",I am working on generating data.,Neutral,Satisfied,Agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,genomics,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Agree,Agree,Agree,Neutral,"familiarity with running basic stats on chip seq, rna seq, data sets. Specifically understand how to select sequences based on a content of interest",Yes
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,cell biology,"Life science (biology, genetics)",,Apple OS,No,Daily,,"R,Python,MATLAB",I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,"learn how to use basic tools in genomics science, as I might use it in the someday in the future. ",Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Computational Biology,Other (please specify),Computational Biology,Windows,Not sure,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB",I am working on generating data.,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,"Learning new methods to deal with big data in new computing environments, e.g. cloud computing environment.",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,"JAX Bar Harbor, Mamalian Genetics",Brain and neurosciencse,,Apple OS,No,Weekly,,R,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I'm extremely interested in honing my command line proficiency, mastering sequencing data trimming and QC and improving the usage of package/tool (by understanding the parameters of the common tools).",Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Cancer Center,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Agree,,Agree,Neutral,more about cloud computing and workflow automation,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Cancer center,"Life science (biology, genetics)",,Windows,No,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,,"Engineering (civil, mechanical, chemical)",,Linux,No,Less than once a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python",I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,IPP,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Unsatisfied,Strongly agree,Agree,Neutral,Neutral,Familiarity with the basic tools for manipulation of bioinformatic data,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Post-doc,,IPP,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Agree,Agree,Neutral,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,Molecular Biology and Microbiology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Apple OS,Yes,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Faculty,,molecular biology and microbiology,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Disagree,increased proficiency with command line computing and another resource to learn about computational pipelines for whole genome sequence data analysis,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,Other (please specify),Immunology,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Understanding the workflow of data organization, being able to input data into an analyzable format. ",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,RNAseq data analysis,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Molecular Microbiology,"Life science (biology, genetics)",,Apple OS,Yes,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,I would like to learn how to make use of computing resources. I am not a programmer but would like to learn more. ,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Microbiology,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,I hope to have a better grasp of how to handle large omic datasets.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,Other (please specify),"Immunology, neuroscience, translational medicine ",Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,The ability to understand and compile gene expression data,Yes
I am taking this survey before coming to the workshop,Yes,Faculty,,Integrative Physiology and Pathobiology,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Agree,Neutral,Neutral,Neutral,"The value of using SQL, R or Python",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics and Developmental Biology,Medicine,,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,"Excel or other spreadsheet program,FileMaker Pro or Microsoft Access",I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,Basic computing skills for analysis of data since I have zero knowledge or experience,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not applicable,Not applicable,Agree,Neutral,Neutral,Neutral,Basics of using coding to analyze complex data sets,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,Medicine,,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to get a better grasp of programming,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Disagree,Neutral,How to analyze sequencing info,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Hopkins Marine Station,"Life science (ecology, zoology, botany)",,Windows,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,How to feel comfortable in R and learn new tools quickly,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Chemical Engineering,"Life science (biology, genetics)",,Apple OS,Yes,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Satisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,more elegant skills for working with both data i am familiar with and bioinformatics data,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Ecology and evolution ,"Life science (biology, genetics)",,Apple OS,Yes,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,analyze my data quickly!,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,Brain and neurosciencse,,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,ALL THE THINGS,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Blood and Marrow Transplantation,"Life science (biology, genetics)",,Apple OS,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, I have data but I haven't started analyzing it yet.",Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,how to use R to analyze sequencing data,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,"Developmental Biology, Genetics","Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,I am familiar with bioinformatics analysis at a conceptual level but I desperately need an overview of the critical skills and tools required to implement analysis.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Neurosciences,Brain and neurosciencse,,Apple OS,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Neutral,Unsatisfied,Strongly agree,Agree,Strongly agree,Neutral,,Yes
I am taking this survey before coming to the workshop,No,Post-doc,,Immunology,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Basic command line language skills that I can take use for data analysis. I would like to learn more about command line tools and coding, but I don't even know where to start- I think this will help.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Stem Cell Biology and Regenerative Medicine,Medicine,,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Strongly agree,I hope to be able to run QC and determine the representation of particular sequences in Next Generation Sequencing Data (NGS). ,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to learn how to better approach larger data sets and improve my ability to analyze any data I collect.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,Brain and neurosciencse,,Windows,No,Several times a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Neutral,Satisfied,Strongly agree,Strongly agree,Agree,Agree,"Gain profeciency with the basic operations so that I can use R for common experimental statistics, and also so that I can more efficiently perform in-depth analysis of large scale RNA-seq data.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology & Immunology,"Life science (biology, genetics)",,Apple OS,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Very unsatisfied,Agree,Strongly agree,Agree,Disagree,"Techniques/packages for RNA-seq analysis, comparative genomics",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Microbiology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Very unsatisfied,Very unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Learn basic skills as well as getting more information so that at the time when I need to analyze my data I know how to do it or where/who I can go to find help.,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,EBI-EMBL,Brain and neurosciencse,,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Neutral,Agree,Agree,Agree,,Yes
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Post-doc,,Genetics,Medicine,,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R,Python","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Fill in the gaps of self-learned knowledge and to learn about better methods of tidying data and SQL,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Staff,,Cambridge INstitute,"Life science (biology, genetics)",,Apple OS,Not sure,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Satisfied,Unsatisfied,Agree,Neutral,Agree,Neutral,how to start with R,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,pharmacology,"Life science (biology, genetics)",,Windows,No,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,speeding analisys up with a shell,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Industry,,"Epigenetics, Immunoinflammation","Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Neutral,How to make the best use of large data sets. Ultimate aim is to process RNA seq data.,No
I am taking this survey at the workshop (and I have not previously taken a survey for this workshop),Yes,Graduate Student,,Biological Anthropology,"Life science (biology, genetics)",,Apple OS,No,Daily,,R,"Yes, and I've already done a fair bit of analysis.",Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Cancer Biology,"Life science (biology, genetics)",,Windows,Yes,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,Python","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Strongly agree,Agree,Agree,Agree,Organize data and to learn R,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Genetics,"Life science (biology, genetics)",,Apple OS,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Neutral,Effective strategies for data analysis and a taster of where to direct my learning efforts in the future,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Chemical engineering and biotechnology,"Engineering (civil, mechanical, chemical)",,Windows,Yes,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,MATLAB","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Unsatisfied,Agree,Neutral,Neutral,Neutral,"Know how best to go about analysing my data, what information can be extracted, and how to deal with the large data files that can't be processed manually.",No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Stem Cell Institute,"Life science (biology, genetics)",,Apple OS,No,Daily,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Agree,Agree,improve my analysis efficiency,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bioengineering,Brain and neurosciencse,,Windows,No,Daily,,MATLAB,I am working on generating data.,Satisfied,Unsatisfied,Strongly agree,Strongly agree,Agree,Strongly agree,"How to use Python for data analysis instead of Matlab, which I rely on now.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Developmental Biology ,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Neutral,obtain a foundation for approaching data analysis in an organized strategic manner ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Windows,No,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Unsatisfied,Agree,Agree,Agree,Agree,How to use R,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Cancer Biology ,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Very unsatisfied,Very unsatisfied,Agree,Strongly agree,Strongly agree,Neutral,I hope to have a stronger foundation how to use R or Python to analyze my data.,Yes
I am taking this survey before coming to the workshop,No,Post-doc,,Haematology,"Life science (biology, genetics)",,Apple OS,No,Weekly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I want to learn the advantages of using Open Refine and SQL,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology,"Life science (biology, genetics)",,Apple OS,No,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R","Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Agree,Strongly agree,Agree,Neutral,Become more comfortable with R ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Biology/Genomics,"Life science (biology, genetics)",,Apple OS,Yes,Daily,,"R,Python","Yes, I have data but I haven't started analyzing it yet.",Unsatisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Disagree,"I hope to learn strategies in R to manage and analyze data. I have mostly worked using bash scripting and python (and sometimes perl), so I am excited to see how to do some of these techniques in R.",Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,,"Life science (biology, genetics)",,Apple OS,Not sure,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Agree,Agree,Agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Genetics,"Life science (biology, genetics)",,Windows,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I hope to become more comfortable using the command line and R to analyze my NGS data.,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Immunology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Not sure,Not sure,Strongly agree,Agree,Agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Integrative Physiology and Pathobiology,Other (please specify),Immunology,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Unsatisfied,Unsatisfied,Neutral,Neutral,Neutral,Neutral,More efficient ways of handling large data sets.,Yes
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Unsatisfied,Very unsatisfied,Agree,Strongly agree,Agree,Agree,General familiarity with skills,Yes
I am taking this survey before coming to the workshop,Yes,Staff,,Pathology Dept/Wisconsin National Primate Research Center,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,I do not have data yet.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Learning to code so that I may eventually automate my analyses pipelines  ,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Oncology,Medicine,,Windows,Not sure,Not sure,Excel or other spreadsheet program,Excel or other spreadsheet program,I am working on generating data.,Neutral,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Agroecology,"Life science (ecology, zoology, botany)",,Windows,Not sure,Several times a year,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I do not have data yet.,Not sure,Not sure,Strongly agree,Strongly agree,Strongly agree,Neutral,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Bacteriology ,"Life science (biology, genetics)",,Apple OS,No,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,SQL,R",I am working on generating data.,Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Agree,I hope to learn how to organize data to develop an established and high-throughput workflow process. ,Yes
I am taking this survey before coming to the workshop,Yes,Undergraduate student,,Psychology,Brain and neurosciencse,,Apple OS,No,Weekly,,"R,Python,MATLAB","Yes, and I've already done a fair bit of analysis.",Satisfied,Satisfied,Strongly agree,Strongly agree,Strongly agree,Agree,,Yes
I am taking this survey before coming to the workshop,Yes,Graduate Student,,Forestry ,"Life science (ecology, zoology, botany)",,Apple OS,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Satisfied,Neutral,Strongly agree,Neutral,Neutral,Neutral,Better organization and management skills.,Yes
I am taking this survey before coming to the workshop,Yes,,,,,,,,,,,,,,,,,,,
I am taking this survey before coming to the workshop,Yes,Post-doc,,Entomology,"Life science (biology, genetics)",,Windows,Yes,Less than once a year,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, I have data but I haven't started analyzing it yet.",Neutral,Neutral,Strongly agree,Agree,Agree,Agree,I need to be able to start using R for some basic statistical analyses and I am very uncomfortable with it currently. I want to gain some familiarity with it so my inexperience with it doesn't hold my data analyses back.,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Microbiology and Molecular Genetics,"Life science (biology, genetics)",,Apple OS,Yes,I have never programmed,Excel or other spreadsheet program,Excel or other spreadsheet program,"Yes, and I've already done a fair bit of analysis.",Unsatisfied,Unsatisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes
I am taking this survey before coming to the workshop,Yes,Post-doc,,Pathobiological Sciences,Public health,,Windows,Not sure,Monthly,Excel or other spreadsheet program,"Excel or other spreadsheet program,R",I am working on generating data.,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,best practices for data management and strategies for manipulating large datasets ,Yes
