"","Start.Date","End.Date","When.Taking.Survey","First.Time","Status","Status.Other","Department","Discipline","Discipline.Other","OS","With.Friend","Programming.Usage","Current.Tools.1","Current.Tools.2","Current.Tools.3","Current.Tools.4","Current.Tools.5","Current.Tools.6","Current.Tools.7","Have.Dataset","Data.Management.Strategy","Data.Analysis.Workflow","Data.Organization","Using.Scripting.Language","Using.R.or.Python","Value.of.SQL.or.Python","Hope.to.Learn","Workshop.in.US","Age","Gender","Gender.Other","Race","Race.Other","year.survey"
"11","7/31/17 14:00","7/31/17 14:07","I am taking this survey before coming to the workshop","Yes","Staff","","Information Technology","Computer Science","","Apple OS","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Agree","Agree","Agree","Neutral","Obtain a perspective of how data management and analysis impacts what our scientists do. Goal is to get a better understanding to then in turn see if there are solutions we can provide to support the science mission at the Lab","Yes","55-64","Female",NA,"White / Caucasian","","2017"
"12","7/31/17 14:00","7/31/17 14:00","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"13","7/31/17 9:48","7/31/17 10:08","I am taking this survey before coming to the workshop","Yes","Industry","","Human Resources","Humanities","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Strongly agree","Neutral","Neutral","Neutral","Learning what DH is about and how this might apply to what I do","No","","No Answer",NA,"No Answer","","2017"
"14","7/31/17 3:44","7/31/17 3:51","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Environmental Science","Other","Risk Management","Windows","Yes","Daily","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","SQL","Python","","","Excel or other spreadsheet program","I am working on generating data","Very satisfied","Very satisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to adequately collect data chronologically so that interpreting it is much simpler and easily done ","Yes","18-24","Female",NA,"Black or African American","","2017"
"15","7/31/17 2:37","7/31/17 2:51","I am taking this survey before coming to the workshop","Yes","Staff","","Library Services","Humanities","","Windows","Not sure","I have never programmed","","","","","","","","I do not have data yet","Not applicable","Not applicable","Strongly agree","Neutral","Neutral","Neutral","Learning different types of data and understanding data management and analysis in order to support researchers in all fields of study","No","","No Answer",NA,"No Answer","","2017"
"16","7/31/17 1:38","7/31/17 1:42","I am taking this survey before coming to the workshop","Yes","Staff","","Library Services","Humanities","","Windows","Yes","Several times a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","","Strongly agree","Strongly agree","Strongly agree","To further enhance my understanding of programmable data for future DH projects that Library Services intends to undertake.","No","","No Answer",NA,"No Answer","","2017"
"17","7/28/17 20:08","7/28/17 20:15","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Biology","Life Science ","","Linux","No","Several times a year","Excel or other spreadsheet program","R","Python","","","","Excel or other spreadsheet program","I am working on generating data","Unsatisfied","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","I hope to gain experience with managing larger datasets using command line and languages that are commonly applied in genomics. Generating a large dataset is overwhelming, and I'd like to improve my ability to manipulate and analyze such datasets.","Yes","25-34","Female",NA,"White / Caucasian","","2017"
"18","7/28/17 16:54","7/28/17 16:58","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","No","Graduate Student","","Chemistry","Chemistry","","Windows","No","Less than once a year","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Not sure","Not sure","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","","Yes","25-34","Female",NA,"No Answer","","2017"
"19","7/27/17 13:09","7/27/17 15:39","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Staff","","Basic Sciences","Neuroscience","","Windows","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Neutral","Strongly agree","Neutral","Neutral","Neutral","Increasing data analysis efficiency, reproducibility, and understanding of data analysis software","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"20","7/27/17 10:07","7/27/17 11:07","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Graduate Student","","Education","Statistics","","Windows","Yes","Less than once a year","","","","","","","","I am working on generating data","Satisfied","Satisfied","Strongly agree","Agree","Agree","Agree","","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"21","7/27/17 9:54","7/27/17 9:57","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Mathematics","Other","Mathematics","Windows","Yes","Less than once a year","MATLAB","","","","","","","I do not have data yet","Neutral","","Strongly agree","Agree","Agree","Agree","","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"22","7/27/17 9:40","7/27/17 9:45","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Physiological Sciences","Life Science ","","Windows","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Very unsatisfied","Very unsatisfied","Agree","Agree","Neutral","Neutral","Analyze my data, start writing scripts to analyze similar datab","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"23","7/27/17 9:26","7/27/17 9:29","I am taking this survey before coming to the workshop","Yes","Undergraduate Student","","Civil and Environmental Engineering","Engineering","","Windows","Not sure","Weekly","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I do not have data yet","Unsatisfied","Unsatisfied","Agree","Neutral","Agree","Agree","","Yes","18-24","Male",NA,"No Answer","","2017"
"24","7/26/17 23:39","7/26/17 23:50","I am taking this survey before coming to the workshop","Yes","Graduate Student","","MIS","Other","IT","Windows","Yes","Weekly","Excel or other spreadsheet program","SQL","R","Python","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Satisfied","Strongly agree","Strongly agree","Agree","Agree","I hope this workshop would provide an overall glimpse of how data are analysed to generate some meaningful informations required in different domains of our study.","Yes","35-44","Male",NA,"Asian / Pacific Islander","","2017"
"25","7/26/17 22:20","7/26/17 22:24","I am taking this survey before coming to the workshop","","Graduate Student","","Electrical Engineering","Computer Science","","Windows","No","Weekly","Excel or other spreadsheet program","SQL","MATLAB","","","","Excel or other spreadsheet program","I am working on generating data","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","","Yes","35-44","Female",NA,"Asian / Pacific Islander","","2017"
"26","7/26/17 18:40","7/26/17 18:47","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Tourism","Humanities","","Apple OS","No","Not sure","","","","","","","","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","","How to start use new programs ","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"27","7/26/17 11:10","7/26/17 11:15","I am taking this survey before coming to the workshop","Yes","Faculty","","Plant and Soil Science","Earth Sciences ","","Windows","Not sure","Several times a year","MATLAB","","","","","","","I have data but haven't started analyzing it","Satisfied","Satisfied","Strongly agree","Neutral","Agree","Agree","I hope to develop a basic fluency in Python.","Yes","35-44","Male",NA,"Prefer not to say","","2017"
"28","7/26/17 7:18","7/26/17 7:19","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"29","7/26/17 6:48","7/26/17 6:55","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Staff",""," ","Life Science ","","Windows","No","Several times a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not sure","Not sure","Strongly agree","Strongly agree","Agree","Neutral","","Yes","18-24","Female",NA,"Other","Ethiopian","2017"
"30","7/26/17 5:35","7/26/17 6:22","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Staff","","Animal production and Technology","Life Science ","","Windows","No","Several times a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Satisfied","Satisfied","Strongly agree","Agree","Agree","Neutral"," I am very interesting to participate  this workshop and In this interesting work shop, i will to know important software for data analysis. ","Yes","18-24","Female",NA,"Other","Ethiopian","2017"
"31","7/26/17 4:15","7/26/17 4:23","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Post-doc","","Biomedical Science","Life Science ","","Windows","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I am working on generating data","Satisfied","Unsatisfied","Strongly agree","Agree","Agree","Agree","An introduction to OpenRefine, SQL and R, which I have never used before, as a basis to be able to work with on future jobs/projects.","No","","No Answer",NA,"No Answer","","2017"
"32","7/26/17 4:11","7/26/17 4:16","I am taking this survey at the workshop (and I have not previously taken a survey for this workshop)","Yes","Post-doc","","MBB","Life Science ","","Windows","No","Several times a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","A grasp of linking scripting to graphical imaging in an automated fashion","No","","No Answer",NA,"No Answer","","2017"
"33","7/26/17 3:04","7/26/17 3:04","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"34","7/26/17 1:12","7/26/17 1:14","I am taking this survey before coming to the workshop","Yes","Graduate Student",""," ","Computer Science","","Windows","","Weekly","Python","MATLAB","","","","","","","","","","","","","","Yes","","No Answer",NA,"No Answer","","2017"
"35","7/25/17 23:45","7/25/17 23:52","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Industrial Engineering ","Tech Support","","Windows","No","Daily","Excel or other spreadsheet program","SQL","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Strongly agree","Neutral","Neutral","machine learning","Yes","45-54","Female",NA,"White / Caucasian","","2017"
"36","7/25/17 23:21","7/25/17 23:27","I am taking this survey before coming to the workshop","Yes","Industry","","Analytical Sciences","Chemistry","","Windows","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Satisfied","Agree","Strongly agree","Strongly agree","Strongly agree","I hope to learn how to analyze images and spectra using python. I also will like to be able to easily perform library searching and matching of images and spectra with data of an unknown against a library. ","Yes","25-34","Male",NA,"Black or African American","","2017"
"37","7/25/17 20:45","7/25/17 20:52","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Management Information Systems","Other","MIS","Windows","No","Weekly","Excel or other spreadsheet program","SQL","R","Python","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Strongly agree","Agree","Agree","Neutral","","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"38","7/25/17 18:49","7/25/17 18:54","I am taking this survey before coming to the workshop","No","Graduate Student","","human sciense","Other","Education","Windows","Yes","Weekly","R","","","","","","","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Agree","","Yes","25-34","Male",NA,"Asian / Pacific Islander","","2017"
"39","7/25/17 18:04","7/25/17 18:08","I am taking this survey before coming to the workshop","Yes","Industry","","ETA","Engineering","","Windows","No","Several times a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Unsatisfied","Agree","Agree","Neutral","Neutral","Dataset organization & manipulation, data visualization, workflow, database recommendations for scientific application","Yes","18-24","Female",NA,"Prefer not to say","","2017"
"40","7/25/17 17:07","7/25/17 17:08","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"41","7/25/17 16:29","7/25/17 16:35","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Biosystems and Agricultural Engineering","Engineering","","Windows","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Neutral","Neutral","Neutral","data analysis","Yes","25-34","No Answer",NA,"Black or African American","","2017"
"42","7/25/17 15:53","7/25/17 15:59","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Pharmacogenetics","Life Science ","","Windows","Not sure","Less than once a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Agree","Agree","Agree","learn data; connect people","No","","No Answer",NA,"No Answer","","2017"
"43","7/25/17 15:33","7/25/17 15:51","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Plant and Soil Science","Earth Sciences ","","Windows","Not sure","Weekly","MATLAB","","","","","","","I have data and done a fair bit of analysis","Satisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to more efficiently work with my data. ","Yes","18-24","Female",NA,"White / Caucasian","","2017"
"44","7/25/17 14:10","7/25/17 14:14","I am taking this survey before coming to the workshop","Yes","Staff",""," ","Administration","","Not sure","Yes","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Strongly agree","","","","","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"45","7/25/17 4:54","7/25/17 4:56","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"46","7/25/17 1:56","7/25/17 2:01","I am taking this survey before coming to the workshop","No","Staff","","JGI","Life Science ","","Apple OS","No","Weekly","R","Python","","","","","","I have data and done a fair bit of analysis","Neutral","Unsatisfied","Agree","Agree","Agree","Neutral","Learn about OpenRefine, get accustomed to using SQL. Interested in using R and Python to interface with the other two.","Yes","35-44","Male",NA,"White / Caucasian","","2017"
"47","7/24/17 16:40","7/24/17 16:45","I am taking this survey before coming to the workshop","No","Post-doc","","ESD","Life Science ","","Apple OS","Yes","Weekly","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Really interested in the strategies for data management, doing it more efficiently.","Yes","35-44","Female",NA,"Hispanic or Latino","","2017"
"48","7/24/17 16:38","7/24/17 16:44","I am taking this survey before coming to the workshop","No","Staff",""," ","Life Science ","","Apple OS","Yes","Several times a year","Excel or other spreadsheet program","R","Python","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Not sure","Not sure","Strongly agree","Agree","Agree","Agree","","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"49","7/24/17 14:41","7/24/17 14:42","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"50","7/24/17 14:41","7/24/17 14:42","I am taking this survey before coming to the workshop","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"51","7/24/17 12:52","7/24/17 12:55","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Librarianship","Other","Social Science","Windows","No","Less than once a year","Excel or other spreadsheet program","SQL","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Agree","Neutral","Neutral","Neutral","","No","","No Answer",NA,"No Answer","","2017"
"52","7/24/17 12:51","7/24/17 12:52","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"53","7/24/17 11:17","7/24/17 11:22","I am taking this survey before coming to the workshop","Yes","Post-doc","","Animal and Plant Sciences","Life Science ","","Windows","Not sure","Weekly","R","","","","","","","I have data and done a fair bit of analysis","Neutral","Neutral","Neutral","Agree","Agree","Agree","","No","","No Answer",NA,"No Answer","","2017"
"54","7/24/17 10:22","7/24/17 10:26","I am taking this survey before coming to the workshop","Yes","Other","Teaching and Research Fellow","Chemical and Biological Engineering","Engineering","","Apple OS","No","Less than once a year","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I do not have data yet","Unsatisfied","Unsatisfied","Strongly agree","Agree","Agree","Neutral","using SQL with R or Python","No","","No Answer",NA,"No Answer","","2017"
"55","7/22/17 5:19","7/22/17 5:25","I am taking this survey before coming to the workshop","Yes","Post-doc","","EEE","Computer Science","","Not sure","No","Monthly","Excel or other spreadsheet program","Python","MATLAB","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Agree","Agree","Agree","Agree","","No","","No Answer",NA,"No Answer","","2017"
"56","7/21/17 9:11","7/21/17 9:16","I am taking this survey before coming to the workshop","Yes","Post-doc","","Engineering","Other","Materials Science","Apple OS","No","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Strongly agree","How to analyze the data more efficiently","No","","No Answer",NA,"No Answer","","2017"
"57","7/21/17 7:09","7/21/17 7:16","I am taking this survey before coming to the workshop","Yes","Graduate Student",""," ","Other","Mathematics","Apple OS","Not sure","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Not applicable","Not applicable","Agree","Strongly agree","Strongly agree","Strongly agree","I hope to learn how to use the basic tools to process and analyse data.","No","","No Answer",NA,"No Answer","","2017"
"58","7/21/17 6:33","7/21/17 6:33","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"59","7/21/17 5:53","7/21/17 5:53","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"60","7/21/17 5:50","7/21/17 5:50","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"61","7/20/17 12:19","7/20/17 12:25","I am taking this survey before coming to the workshop","Yes","Post-doc","","Biomedical Science","Life Science ","","Apple OS","No","Less than once a year","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I do not have data yet","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","An understanding of what SQL and R actually are, and how and when to use them.","No","","No Answer",NA,"No Answer","","2017"
"62","7/20/17 9:36","7/20/17 9:42","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Geophysics","Earth Sciences ","","Apple OS","No","Daily","Excel or other spreadsheet program","Python","MATLAB","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","I am familiar with Python, but I have never used R. I think R might help streamline some of my statistical analysis of data. Also, I've never used Git before, and I think implementing version control to my code would be really helpful.","Yes","25-34","Female",NA,"White / Caucasian","","2017"
"63","7/20/17 9:33","7/20/17 9:35","I am taking this survey before coming to the workshop","Yes","No Answer","","Animal and Plant Sciences","Life Science ","","Windows","No","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"64","7/20/17 9:29","7/20/17 9:29","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"65","7/20/17 9:24","7/20/17 9:31","I am taking this survey before coming to the workshop","Yes","Staff","","Family & Consumer Sciences","Other","","Windows","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Unsatisfied","Unsatisfied","Strongly agree","Neutral","Neutral","Neutral","More efficient methods of data organization and analysis.","Yes","35-44","Female",NA,"White / Caucasian","","2017"
"66","7/20/17 9:00","7/20/17 9:05","I am taking this survey before coming to the workshop","Yes","Post-doc","","Molecular Biology","Life Science ","","Windows","No","Several times a year","Excel or other spreadsheet program","R","","","","","Excel or other spreadsheet program","I am working on generating data","Satisfied","Neutral","Agree","Neutral","Neutral","Strongly disagree","Learning about the SQL element of the course","No","","No Answer",NA,"No Answer","","2017"
"67","7/20/17 8:48","7/20/17 8:52","I am taking this survey before coming to the workshop","Yes","Post-doc","","Animal and Plant Sciences","Life Science ","","Windows","No","Daily","Excel or other spreadsheet program","SQL","R","Python","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Improvements in my data management and analysis workflows.","No","","No Answer",NA,"No Answer","","2017"
"68","7/20/17 8:40","7/20/17 8:40","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"69","7/20/17 8:32","7/20/17 8:40","I am taking this survey before coming to the workshop","Yes","Staff","","Library","Other","Archives","Windows","No","I have never programmed","Excel or other spreadsheet program","FileMaker Pro or Microsoft Access","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Neutral","Not sure","Strongly agree","Neutral","Neutral","Neutral","Learn the basics about programming languages and be able to apply data cleaning and readiness to my work","No","","No Answer",NA,"No Answer","","2017"
"70","7/20/17 8:01","7/20/17 8:02","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"71","7/19/17 21:08","7/19/17 21:11","I am taking this survey before coming to the workshop","Yes","Graduate Student",""," ","No Answer","","","","Daily","MATLAB","","","","","","","","","","","","","","","Yes","","No Answer",NA,"No Answer","","2017"
"72","7/19/17 18:31","7/19/17 18:32","I am taking this survey before coming to the workshop","","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
"73","7/19/17 17:34","7/19/17 18:15","I am taking this survey before coming to the workshop","Yes","Post-doc","","Biology","Life Science ","","Apple OS","Not sure","I have never programmed","Excel or other spreadsheet program","","","","","","Excel or other spreadsheet program","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Neutral","I hope to be able to know how to consistently manage large data sets, to be able to analyze them, sort and compare them with other data sets.  Also, to be able to use R at a basic level to visualize and graph data","Yes","35-44","Female",NA,"Hispanic or Latino","","2017"
"74","7/19/17 18:02","7/19/17 18:06","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Chemistry","Chemistry","","Apple OS","Not sure","Less than once a year","Excel or other spreadsheet program","MATLAB","","","","","Excel or other spreadsheet program","I am working on generating data","Satisfied","Unsatisfied","Agree","Agree","Agree","Agree","","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"75","7/19/17 17:05","7/19/17 17:07","I am taking this survey before coming to the workshop","Yes","Graduate Student","","Chemical Engineering","Engineering","","Apple OS","No","Daily","Excel or other spreadsheet program","Python","","","","","Excel or other spreadsheet program","I have data and done a fair bit of analysis","Satisfied","Very satisfied","Strongly agree","Strongly agree","Strongly agree","Neutral","familiarity with r","Yes","18-24","Male",NA,"Asian / Pacific Islander","","2017"
"76","7/19/17 16:42","7/19/17 16:47","I am taking this survey before coming to the workshop","Yes","Post-doc","","CCE","Life Science ","","Apple OS","Yes","Monthly","Python","","","","","","","I have data but haven't started analyzing it","Unsatisfied","Unsatisfied","Strongly agree","Strongly agree","Strongly agree","Disagree","Practical usage of R ","Yes","25-34","Female",NA,"Asian / Pacific Islander","","2017"
"77","7/19/17 16:41","7/19/17 16:41","I am taking this survey before coming to the workshop","Yes","No Answer",""," ","No Answer","","","","","","","","","","","","","","","","","","","","","","No Answer",NA,"No Answer","","2017"
