When-Taking-Survey,Information,Atmosphere,Skills,Material,Recommend,Worth,Pace,Balance,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Communicators,Instructors-Enthusiastic,Helpers-Clear-Answers,Helpers-Considerate,Helpers-Communicators,Helpers-Enthusiastic,Enough-Helpers,New-Information,Unix-Shell-Pre,Unix-Shell-Perception,Git-Pre,Git-Perception,Python-Pre,Python-Perception,R-Pre,R-Perception,SQL-Pre,SQL-Perception,Unix-Shell-Knowledge-Increase,Unix-Shell-Intimidating,Git-Knowledge-Increase,Git-Intimidating,Python-Knowledge-Increase,Python-Intimidating,R-Knowledge-Increase,R-Intimidating,SQL-Knowledge-Increase,SQL-Intimidating,After-Unix-Shell-Motivation,After-Git-Motivation,After-Python-Motivation,After-R-Motivation,After-SQL-Motivation,Pipes-Before-Workshop,Pipes-After-Workshop,Loops-Before-Workshop,Loops-After-Workshop,Git-Repo-Before-Workshop,Git-Repo-After-Workshop,Function-Before-Workshop,Function-After-Workshop,Import-Library-Before-Workshop,Import-Library-After-Workshop,Unit-Test-Before-Workshop,Unit-Test-After-Workshop,SQL-Query-Before-Workshop,SQL-Query-After-Workshop,Status,Status-Other,Research-Domain,Gender,Above-18,Workshop-in-US,Likely-to-Recommend
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,All of the time,Often,Often,Often,Yes,About half of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Much more motivated,Much more motivated,Much more motivated,N/A - Topic not covered,N/A - Topic not covered,Maybe,,Yes,,Yes,,Maybe,,Maybe,,Yes,,Maybe,,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,No,10
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,All of the time,All of the time,Often,All of the time,All of the time,All of the time,Yes,All of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,More motivated,More motivated,More motivated,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,9
"I have just completed the workshop, and am taking it at the event",Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Little or no knowledge of topic,N/A or No opinion,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,No,8
"I have just completed the workshop, and am taking it at the event",Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Often,Often,Often,Often,Often,Yes,Most of it,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,More motivated,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,N/A - Not covered at workshop,Graduate Student,,"     Life Sciences (Genetics, genomics, bioinformatics ) Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)   Medicine and/or Pharmacy      ",Female,Yes,No,10
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Too fast,Too much lecture,Sometimes,All of the time,Sometimes,Often,Sometimes,All of the time,Often,Often,Yes,Most of it,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,No increase in my knowledge,No change - (Not less or more intimidating),Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a little,No change - (Not less or more intimidating),No increase in my knowledge,No change - (Not less or more intimidating),No increase in my knowledge,No change - (Not less or more intimidating),Less motivated,Less motivated,No change in motivation,Less motivated,Less motivated,No,No change in confidence,No,Confidence increased a bit,Yes,Confidence increased slightly,No,No change in confidence,Maybe,Confidence increased slightly,No,No change in confidence,No,No change in confidence,Research staff (including research programmer),,         Medicine and/or Pharmacy      ,Male,Yes,Yes,0
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Too slow,Balanced (lecture/hands-on),Often,All of the time,Often,Often,Often,Often,Often,Sometimes,Yes,Some of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not very intimidating,,,,,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased slightly,No change - (Not less or more intimidating),,,,,No change in motivation,More motivated,No change in motivation,,,Maybe,Confidence increased greatly,Yes,No change in confidence,No,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,,,,,Graduate Student,,"           Planetary sciences (geology, climatology, oceanography, etc.)    ",Male,Yes,Yes,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Often,Sometimes,Often,Often,Often,Yes,Most of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not at all intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became slightly less intimidating,Knowledge increased a little,Became much less intimating,Slightly less motivated,More motivated,Slightly less motivated,Slightly less motivated,More motivated,No,No change in confidence,No,No change in confidence,No,Confidence increased slightly,No,No change in confidence,,No change in confidence,No,No change in confidence,No,Confidence increased a bit,Support staff (including technical support),,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Female,Yes,Yes,7
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Neither intimidating nor unintimidating,Knowledge increased slightly,Became much less intimating,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,No change in motivation,No change in motivation,More motivated,N/A - Topic not covered,N/A - Topic not covered,No,Confidence increased greatly,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased a bit,No,Confidence increased slightly,No,N/A - Not covered at workshop,No,N/A - Not covered at workshop,Research staff (including research programmer),,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Slightly fast,Balanced (lecture/hands-on),Rarely,Rarely,Rarely,Often,Sometimes,Often,Sometimes,Rarely,Yes,Most of it,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Not very intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased slightly,No change - (Not less or more intimidating),Knowledge increased slightly,Became slightly less intimidating,No increase in my knowledge,Became slightly more intimidating,Knowledge increased slightly,Became slightly less intimidating,More motivated,More motivated,Much more motivated,No change in motivation,More motivated,Yes,Confidence increased slightly,Yes,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased greatly,Maybe,No change in confidence,Maybe,Confidence increased slightly,Undergraduate Student,,Chemistry  Economics/business             ,Male,Yes,Yes,8
"I have recently completed the workshop, and am taking it after I left the event",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Often,All of the time,All of the time,All of the time,Yes,Most of it,Some knowledge of topic,Neither intimidating nor unintimidating,Some knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Very intimidating to me,Knowledge increased a great deal,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became slightly less intimidating,No increase in my knowledge,No change - (Not less or more intimidating),No increase in my knowledge,N/A - Not covered at this workshop,Much more motivated,Much more motivated,More motivated,No change in motivation,No change in motivation,No,Confidence increased a bit,No,Confidence increased a bit,Maybe,Confidence increased greatly,No,Confidence increased greatly,Maybe,Confidence increased a bit,No,Confidence increased slightly,No,N/A - Not covered at workshop,Research staff (including research programmer),,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Too fast,Slightly too much lecture,Sometimes,All of the time,Sometimes,Often,Sometimes,All of the time,Sometimes,All of the time,Yes,About half of it,Some knowledge of topic,Not at all intimidating,Little or no knowledge of topic,Not at all intimidating,Some knowledge of topic,Not very intimidating,Little or no knowledge of topic,N/A or No opinion,Some knowledge of topic,N/A or No opinion,Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a great deal,No change - (Not less or more intimidating),Knowledge increased a little,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,No change in motivation,No change in motivation,N/A - Topic not covered,N/A - Topic not covered,Yes,Confidence increased greatly,Yes,Confidence increased a bit,No,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased a bit,No,No change in confidence,Yes,N/A - Not covered at workshop,Support staff (including technical support),,"           Planetary sciences (geology, climatology, oceanography, etc.)    ",Male,Yes,Yes,0
"I have recently completed the workshop, and am taking it after I left the event",Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,About half of it,Some knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Slightly intimidating to me,Some knowledge of topic,Slightly intimidating to me,Knowledge increased a little,Became slightly more intimidating,Knowledge increased a great deal,Became slightly more intimidating,Knowledge increased slightly,Became slightly more intimidating,No increase in my knowledge,Became slightly more intimidating,No increase in my knowledge,Became slightly more intimidating,Much more motivated,Much more motivated,Much more motivated,More motivated,More motivated,Yes,Confidence increased a bit,Yes,Confidence increased a bit,No,Confidence increased greatly,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Yes,Confidence increased a bit,Faculty,,"     Life Sciences (Genetics, genomics, bioinformatics )          ",Male,Yes,Yes,9
"I have recently completed the workshop, and am taking it after I left the event",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly fast,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Yes,Most of it,Little or no knowledge of topic,Neither intimidating nor unintimidating,Little or no knowledge of topic,Not very intimidating,Some knowledge of topic,Not at all intimidating,Extensive knowledge of topic,N/A or No opinion,Some knowledge of topic,Not very intimidating,Knowledge increased a little,Became much less intimating,Knowledge increased a great deal,Became much less intimating,Knowledge increased a great deal,Became much less intimating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,Knowledge increased a great deal,Became much less intimating,More motivated,Much more motivated,Much more motivated,N/A - Topic not covered,Much more motivated,No,Confidence increased a bit,No,Confidence increased greatly,No,Confidence increased greatly,Yes,No change in confidence,Maybe,No change in confidence,,,Maybe,Confidence increased greatly,Research staff (including research programmer),,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         Bioengineering, automation, production",Male,Yes,Yes,10
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Too fast,Balanced (lecture/hands-on),Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Yes,Some of it,Some knowledge of topic,Very intimidating to me,Little or no knowledge of topic,Neither intimidating nor unintimidating,Extensive knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Very intimidating to me,Extensive knowledge of topic,Not at all intimidating,Knowledge increased slightly,Became slightly less intimidating,Knowledge increased a great deal,Became much less intimating,Knowledge increased slightly,Became slightly less intimidating,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,N/A - Not covered at this workshop,More motivated,No change in motivation,More motivated,N/A - Topic not covered,N/A - Topic not covered,Maybe,Confidence increased greatly,Maybe,Confidence increased a bit,No,Confidence increased greatly,Yes,No change in confidence,Yes,No change in confidence,No,N/A - Not covered at workshop,Yes,N/A - Not covered at workshop,Research staff (including research programmer),,"           Planetary sciences (geology, climatology, oceanography, etc.)    ",Female,Yes,Yes,5
"I have recently completed the workshop, and am taking it after I left the event",Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Too fast,Too much hands-on,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Yes,About half of it,Little or no knowledge of topic,Slightly intimidating to me,Little or no knowledge of topic,Not very intimidating,Little or no knowledge of topic,Slightly intimidating to me,,,,,Knowledge increased a little,Became slightly more intimidating,Knowledge increased slightly,Became slightly more intimidating,Knowledge increased slightly,Became slightly more intimidating,,,,,No change in motivation,No change in motivation,More motivated,No change in motivation,No change in motivation,No,No change in confidence,No,No change in confidence,No,No change in confidence,Yes,No change in confidence,Yes,No change in confidence,No,No change in confidence,No,No change in confidence,Graduate Student,,"      Life Science - Organismal/systems (ecology, botany, zoology, microbiology, neuroscience)         ",Male,Yes,Yes,0
