When-Taking-Survey,First-Time,Research,Status,Status-Other,Involvement,Practical-Knowledge,Organize-Data,Use-OpenRefine,Import-Python,Import-R,Visualizations-in-Python,Visualizations-in-R,Construct-SQL,Use-command-line,Skill-Level-Prior,Skill-Level-Following,Data-Organization,Using-Scripting-Language,Using-R-or-Python,Value-of-SQL-or-Python,Application,Worth-My-Time,Material,Recommend,Instructors-Clear-Answers,Instructors-Considerate,Instructors-Effective,Instructors-Enthusiastic,Workshop-in-US
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Sciences ,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Strongly Agree,High,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Post-doc,,Somewhat involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Very low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Usually,Always,Most of the time,Always,no
"I have just completed the workshop, and am taking it at the event",yes,Biochemistry,Undergraduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree,Strongly Agree,High,Somewhat higher,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Most of the time,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),State Government,Very involved,Some practical knowledge,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Marine Biology,Graduate student,,Very involved,Some practical knowledge,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Low,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Most of the time,Always,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Fisheries,Other (please specify),government employee,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,NA/Not covered at this workshop,High,About the same,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Evolutionary Biology,Undergraduate student,,Very involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Agree,Neutral,Low,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,social-ecological systems,Graduate student,,Enthusiastically involved,A great deal,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,High,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Life Sciences,Graduate student,,Very involved,A great deal,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Most of the time,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbial Ecology,Graduate student,,Somewhat involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neutral,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Graduate student,,Very involved,A great deal,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Faculty,,Very involved,A great deal,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Most of the time,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Cell and Molecular Biology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),Lab Technician,Very involved,A great deal,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,High,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,medical,Post-doc,,Enthusiastically involved,A great deal,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Most of the time,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Social Science,Other (please specify),Post-grad (master's),Very involved,A great deal,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Agree,Strongly Agree,NA/Not covered at this workshop,Very high,About the same,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Education,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Most of the time,Most of the time,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology (marine),Graduate student,,Very involved,A great deal,Strongly Agree,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,NA/Not covered at this workshop,Agree,Low,Higher,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Somewhat involved,Some practical knowledge,Disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,Agree,Strongly Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Usually,Always,Sometimes,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Post-doc,,Somewhat involved,Some practical knowledge,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Strongly Agree,Neutral,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbial Ecology,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Agree,Strongly disagree,High,About the same,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Always,Always,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Other (please specify),Masters student,Enthusiastically involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Low,Somewhat higher,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Sciences ,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Disagree,Disagree,Very low,Higher,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Always,Always,Most of the time,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Ecology,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Very low,Higher,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Sometimes,Usually,Sometimes,Usually,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Water quality,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Neither high nor low,Somewhat higher,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Most of the time,Most of the time,Sometimes,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Water Resources,Staff,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Environmental Sciences ,Graduate student,,Very involved,A great deal,Strongly Agree,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Strongly Agree,NA/Not covered at this workshop,Neutral,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Neuroscience,Faculty,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Low,Higher,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Usually,Always,Usually,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Physics,Graduate student,,Somewhat involved,Some practical knowledge,Agree,Strongly Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,Agree,NA/Not covered at this workshop,High,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Neutral,Most of the time,Always,Usually,Most of the time,no
"I have just completed the workshop, and am taking it at the event",yes,Sociology,Graduate student,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree��,Strongly Agree,Strongly Agree,Strongly Agree,Neither high nor low,Much higher,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,no
"I have recently completed the workshop, and am taking it after I left the event",yes,Plant Pathology,Faculty,,Very involved,Some practical knowledge,Disagree,Strongly Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,Neither high nor low,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Most of the time,Always,Usually,Most of the time,no
"I have just completed the workshop, and am taking it at the event",yes,Cell Biology,Graduate student,,Enthusiastically involved,A great deal,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Low,Somewhat higher,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Computational Physics,Graduate student,,Very involved,Some practical knowledge,,,,,,,,,,,,,,,,,,,,,,,
"I have just completed the workshop, and am taking it at the event",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,no
"I have just completed the workshop, and am taking it at the event",yes,Physics,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,High,Somewhat higher,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,
"I have just completed the workshop, and am taking it at the event",yes,Classics Archaeology,,,Very involved,A great deal,Neutral,Strongly Agree,Strongly Agree��,Agree,Agree,Agree,Agree,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Usually,Usually,Most of the time,Most of the time,no
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Enthusiastically involved,A great deal,Strongly Agree,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Most of the time,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Neuroscience,Faculty,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly disagree,Strongly Agree,Low,Somewhat higher,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Immunology,Post-doc,,Enthusiastically involved,A great deal,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Biochemistry and molecular biology,Graduate student,,Very involved,Some practical knowledge,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Most of the time,Most of the time,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Humanities,Staff,,Very involved,Some practical knowledge,Neutral,Agree,Neutral,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Low,About the same,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Disagree,Sometimes,Usually,Sometimes,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Staff,,Very involved,A great deal,Agree,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Faculty,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Higher,Strongly agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Most of the time,Always,Most of the time,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,,Staff,,Enthusiastically involved,Some practical knowledge,Strongly Agree,Agree,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,History,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Agree,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Low,Somewhat higher,Strongly agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,History,Graduate student,,Very involved,Some practical knowledge,Agree,Agree,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Faculty,,Very involved,Some practical knowledge,Agree,Agree,Neutral,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Other (please specify),Huntington Library staff,Somewhat involved,A great deal,Neutral,Neutral,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Faculty,,Very involved,Some practical knowledge,Agree,Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Somewhat higher,Strongly agree,Agree,Neutral,Neutral,Disagree,Strongly agree,Agree,Agree,Most of the time,Always,Most of the time,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Humanities,Faculty,,Enthusiastically involved,A great deal,Strongly Agree,Strongly Agree,Agree,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Very low,Higher,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,,Graduate student,,Somewhat involved,A great deal,,,,,,,,,,,,,,,,,,,,,,,
"I have recently completed the workshop, and am taking it after I left the event",yes,Engineering,Graduate student,,Very involved,Some practical knowledge,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neither high nor low,About the same,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Physics,Graduate student,,Very involved,A great deal,Agree,Strongly Agree,Strongly Agree��,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Neither high nor low,Somewhat higher,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Usually,Always,Usually,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Materials Science,Graduate student,,Somewhat involved,Some practical knowledge,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,High,About the same,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Neutral,Usually,Always,Sometimes,Most of the time,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Physics,Graduate student,,Somewhat involved,Some practical knowledge,Neutral,Neutral,Neutral,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Disagree,Neither high nor low,Somewhat higher,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Sometimes,Usually,Sometimes,Usually,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Astronomy,Graduate student,,Very involved,A great deal,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,High,Somewhat higher,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Chemical biology,Faculty,,Very involved,Some practical knowledge,Agree,Agree,Neutral,NA/Not covered at this workshop,Disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,Agree,Very low,Somewhat higher,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Always,Always,Usually,Always,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Earth science,Post-doc,,Somewhat involved,None,Agree,Agree,Strongly disagree,NA/Not covered at this workshop,Strongly disagree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly disagree,High,About the same,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Usually,Always,Sometimes,Usually,yes
"I have recently completed the workshop, and am taking it after I left the event",yes,Microbial Ecology,Post-doc,,Very involved,Some practical knowledge,Neutral,NA/Not covered at this workshop,Strongly Agree��,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,NA/Not covered at this workshop,Neither high nor low,Somewhat higher,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Usually,Always,Sometimes,Usually,yes
"I have just completed the workshop, and am taking it at the event",yes,control,Graduate student,,Somewhat involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree��,Agree,Agree,Agree,,,Low,Somewhat higher,Agree,Agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,yes
"I have just completed the workshop, and am taking it at the event",yes,Chemistry,Graduate student,,Enthusiastically involved,A great deal,Agree,Strongly Agree,Agree,NA/Not covered at this workshop,Agree,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Low,Higher,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Most of the time,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",no,Biology,Graduate student,,Very involved,Some practical knowledge,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Always,Always,Always,Always,yes
"I have just completed the workshop, and am taking it at the event",yes,Physics,Graduate student,,Somewhat involved,A great deal,Agree,Agree,Strongly Agree��,Strongly Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Low,Somewhat higher,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Most of the time,Always,Most of the time,Most of the time,yes
"I have just completed the workshop, and am taking it at the event",yes,Social Science,Graduate student,,Very involved,Some practical knowledge,Strongly Agree,Strongly Agree,Strongly Agree��,NA/Not covered at this workshop,Neutral,NA/Not covered at this workshop,NA/Not covered at this workshop,Strongly Agree,Neither high nor low,Higher,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Most of the time,Always,Usually,Most of the time,yes
